label	replace by
shark fishery	fishery
fishing	fishery
shark catch	catch
cartilaginous fish	sharks
large shark	sharks
school shark	sharks
chondrichthyan	sharks
elasmobranch	sharks
shark fin	fin
shark skin	skin
male	sex
female	sex
ginglymostoma cirratum	nurse shark
carcharodon carcharia	great white shark
prionace glauca	blue shark
white shark	great white shark
shark bay	western australia
